AccessionNum	Gene	Allele	test
LA0982	a	--	x
LA0982	clau	--	x
LA0982	e	--	x
LA0982	hl	--	x
LA0983	ah	--	x
LA0983	bu	--	x
LA0983	dl	--	x
LA0983	l	--	x
LA0983	marm	--	x
LA0984	inv	--	x
LA0984	scf	--	x
LA0985	inv	--	x
LA0985	Jau	--	x
LA0985	per	--	x
LA0986	aw	--	x
LA0986	bk	--	x
LA0986	d	--	x
LA0986	o	--	x
LA0986	p	--	x
LA0986	s	--	x
LA0986	Wo	m	x
LA0987	con	--	x
LA0987	pli	--	x
LA0988	ru	--	x
LA0988	sf	--	x
LA0989	afl	--	x
LA0989	ful	--	x
LA0990	cm	--	x
LA0990	e	--	x
LA0990	ful	--	x
LA0990	su	3	x
LA0991	com	--	x
LA0991	e	--	x
LA0991	ful	--	x
LA0992	clau	--	x
LA0992	com	--	x
LA0992	ra	2	x
LA0992	su	3	x
LA0993	ra	--	x
LA0993	si	--	x
LA0994	cm	--	x
LA0994	ver	--	x
LA0995	deb	--	x
LA0995	um	--	x
LA0996	ig	--	x
LA0996	um	--	x
LA0997	not	--	x
