Accession	Status	Accession Category	Taxon (Lycopersicon)	Taxon2 (Solanum)	Collection Site	Province Or Department	Country
LA3664	Unavailable	Wild species	L. peruvianum	S. corneliomuelleri	Nazca grade	Ica	Peru
LA3666	Unavailable	Wild species	L. peruvianum	S. corneliomuelleri	La Yapa	Ica	Peru
LA0317	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Bartolome	Galapagos Islands	Ecuador
LA0426	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Bartolome: E of landing	Galapagos Islands	Ecuador
LA0436	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Isabela: Villamil	Galapagos Islands	Ecuador
LA0438	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Isabela: coast at Villamil	Galapagos Islands	Ecuador
LA0480A	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Isabela:  Cowley Bay	Galapagos Islands	Ecuador
LA0483	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Fernandina:  inside crater	Galapagos Islands	Ecuador
LA0526	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Pinta:  W Side	Galapagos Islands	Ecuador
LA0527	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Bartolome: W side, Tower Bay	Galapagos Islands	Ecuador
LA0528	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Santa Cruz:  Academy Bay	Galapagos Islands	Ecuador
LA0530	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Fernandina: crater	Galapagos Islands	Ecuador
LA0532	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Pinzon: NW side	Galapagos Islands	Ecuador
LA0747	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Santiago:  Cape Trenton	Galapagos Islands	Ecuador
LA0748	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Santiago: E Trenton Islet	Galapagos Islands	Ecuador
LA0929	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Isabela: Punta Flores	Galapagos Islands	Ecuador
LA0930	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Isabela:  Punta Tortuga	Galapagos Islands	Ecuador
LA1044	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Bartolome	Galapagos Islands	Ecuador
LA1136	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Gardner-near-Floreana Islet	Galapagos Islands	Ecuador
LA1137	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Rabida: N side	Galapagos Islands	Ecuador
LA1141	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Santiago:  N crater	Galapagos Islands	Ecuador
LA1400	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Isabela:  N of Punta Tortuga	Galapagos Islands	Ecuador
LA1401	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Isabela:  N of Punta Tortuga	Galapagos Islands	Ecuador
LA1403	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Fernandina:  W of Punta Espinoza	Galapagos Islands	Ecuador
LA1408	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Isabela:  SW volcano, Cape Berkeley	Galapagos Islands	Ecuador
LA1410	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Isabela:  Punta Ecuador	Galapagos Islands	Ecuador
LA1411	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Santiago: N James Bay	Galapagos Islands	Ecuador
LA1452	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Isabela:  E slope, Volcan  Alcedo	Galapagos Islands	Ecuador
LA1508	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Floreana: Corona del Diablo Islet	Galapagos Islands	Ecuador
LA1627	Active	Wild species	L. cheesmanii f. minor	S. galapagense	Isabela: Darwin's Lake	Galapagos Islands	Ecuador
LA3909	Unavailable	Wild species	L. cheesmanii f. minor	S. galapagense	Bartolome: tourist landing	Galapagos Islands	Ecuador
LA0094	Active	Wild species	L. hirsutum	S. habrochaites	Canta-Yangas	Lima	Peru
LA0361	Active	Wild species	L. hirsutum	S. habrochaites	Canta	Lima	Peru
LA0386	Active	Wild species	L. hirsutum	S. habrochaites	Cajamarca	Cajamarca	Peru
LA0387	Unavailable	Wild species	L. hirsutum	S. habrochaites	Santa Apolonia	Cajamarca	Peru
LA0407	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	El Mirador, Guayaquil	Guayas	Ecuador
LA1033	Active	Wild species	L. hirsutum	S. habrochaites	Hacienda Taulis	Lambayeque	Peru
LA1223	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Alausi	Chimborazo	Ecuador
LA1252	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Loja, Jardin Botanico	Loja	Ecuador
LA1253	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Pueblo Nuevo - Landangue	Loja	Ecuador
LA1255	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Loja	Loja	Ecuador
LA1264	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Bucay	Chimborazo	Ecuador
LA1265	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Rio Chimbo	Chimborazo	Ecuador
LA1266	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Pallatanga	Chimborazo	Ecuador
LA1295	Active	Wild species	L. hirsutum	S. habrochaites	Surco	Lima	Peru
LA1298	Active	Wild species	L. hirsutum	S. habrochaites	Yaso	Lima	Peru
LA1347	Active	Wild species	L. hirsutum	S. habrochaites	Empalme Otusco	La Libertad	Peru
LA1352	Active	Wild species	L. hirsutum	S. habrochaites	Rupe	Cajamarca	Peru
LA1353	Active	Wild species	L. hirsutum	S. habrochaites	Contumaza	Cajamarca	Peru
LA1354	Active	Wild species	L. hirsutum	S. habrochaites	Contumaza to Cascas	Cajamarca	Peru
LA1361	Active	Wild species	L. hirsutum	S. habrochaites	Pariacoto	Ancash	Peru
LA1362	Active	Wild species	L. hirsutum	S. habrochaites	Chacchan	Ancash	Peru
LA1363	Unavailable	Wild species	L. hirsutum	S. habrochaites	Alta Fortaleza	Ancash	Peru
LA1366	Unavailable	Wild species	L. hirsutum	S. habrochaites	Cajacay	Ancash	Peru
LA1378	Active	Wild species	L. hirsutum	S. habrochaites	Navan	Lima	Peru
LA1391	Active	Wild species	L. hirsutum	S. habrochaites	Bagua to Olmos	Cajamarca	Peru
LA1392	Active	Wild species	L. hirsutum	S. habrochaites	Huaraz - Casma Road	Ancash	Peru
LA1393	Active	Wild species	L. hirsutum	S. habrochaites	Huaraz - Caraz	Ancash	Peru
LA1557	Active	Wild species	L. hirsutum	S. habrochaites	Huaral to Cerro de Pasco, Rio Chancay	Lima	Peru
LA1559	Active	Wild species	L. hirsutum	S. habrochaites	Desvio Huamantanga-Canta	Lima	Peru
LA1560	Active	Wild species	L. hirsutum	S. habrochaites	Matucana	Lima	Peru
LA1624	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Jipijapa	Manabi	Ecuador
LA1625	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	S of Jipijapa	Manabi	Ecuador
LA1648	Active	Wild species	L. hirsutum	S. habrochaites	Above Yaso	Lima	Peru
LA1681	Active	Wild species	L. hirsutum	S. habrochaites	Mushka	Lima	Peru
LA1691	Active	Wild species	L. hirsutum	S. habrochaites	Yauyos	Lima	Peru
LA1695	Active	Wild species	L. hirsutum	S. habrochaites	Cacachuhuasiin, Cacra	Lima	Peru
LA1696	Active	Wild species	L. hirsutum	S. habrochaites	Huanchuy to Cacra	Lima	Peru
LA1717	Unavailable	Wild species	L. hirsutum	S. habrochaites	Sopalache	Piura	Peru
LA1718	Active	Wild species	L. hirsutum	S. habrochaites	Huancabamba	Piura	Peru
LA1721	Active	Wild species	L. hirsutum	S. habrochaites	Ticrapo Viejo	Huancavelica	Peru
LA1731	Active	Wild species	L. hirsutum	S. habrochaites	Rio San Juan	Huancavelica	Peru
LA1736	Active	Wild species	L. hirsutum	S. habrochaites	Pucutay	Piura	Peru
LA1737	Active	Wild species	L. hirsutum	S. habrochaites	Cashacoto	Piura	Peru
LA1738	Active	Wild species	L. hirsutum	S. habrochaites	Desfiladero	Piura	Peru
LA1739	Active	Wild species	L. hirsutum	S. habrochaites	Canchaque to Cerran	Piura	Peru
LA1740	Unavailable	Wild species	L. hirsutum	S. habrochaites	Huancabamba	Piura	Peru
LA1741	Unavailable	Wild species	L. hirsutum	S. habrochaites	Sondorillo	Piura	Peru
LA1753	Active	Wild species	L. hirsutum	S. habrochaites	Surco	Lima	Peru
LA1764	Active	Wild species	L. hirsutum	S. habrochaites	West of Canta	Lima	Peru
LA1772	Active	Wild species	L. hirsutum	S. habrochaites	West of Canta	Lima	Peru
LA1775	Active	Wild species	L. hirsutum	S. habrochaites	Rio Casma	Ancash	Peru
LA1777	Active	Wild species	L. hirsutum	S. habrochaites	Rio Casma	Ancash	Peru
LA1778	Active	Wild species	L. hirsutum	S. habrochaites	Rio Casma	Ancash	Peru
LA1779	Active	Wild species	L. hirsutum	S. habrochaites	Rio Casma	Ancash	Peru
LA1918	Active	Wild species	L. hirsutum	S. habrochaites	Llauta	Ayacucho	Peru
LA1927	Active	Wild species	L. hirsutum	S. habrochaites	Ocobamba	Ayacucho	Peru
LA1928	Active	Wild species	L. hirsutum	S. habrochaites	Ocana	Ayacucho	Peru
LA1978	Active	Wild species	L. hirsutum	S. habrochaites	Colca	Ancash	Peru
LA2092	Unavailable	Wild species	L. hirsutum f. glabratum	S. habrochaites	Chinuko	Chimborazo	Ecuador
LA2098	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Sabianga	Loja	Ecuador
LA2099	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Sabiango to Zozoranga	Loja	Ecuador
LA2100	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Sozoranga	Loja	Ecuador
LA2101	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	San Pedro de Cariamanga	Loja	Ecuador
LA2103	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Lansaca	Loja	Ecuador
LA2104	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Pena Negra	Loja	Ecuador
LA2105	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Jardin Botanico, Loja	Loja	Ecuador
LA2106	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Yambra - La Providencia	Loja	Ecuador
LA2107	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Los Lirios	Loja	Ecuador
LA2108	Unavailable	Wild species	L. hirsutum f. glabratum	S. habrochaites	Portete de Anganuma	Loja	Ecuador
LA2109	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Yangana #1	Loja	Ecuador
LA2110	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Yangana #2	Loja	Ecuador
LA2114	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	San Juan	Loja	Ecuador
LA2115	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Pucala	Loja	Ecuador
LA2116	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Las Juntas	Loja	Ecuador
LA2119	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Saraguro	Loja	Ecuador
LA2124	Unavailable	Wild species	L. hirsutum f. glabratum	S. habrochaites	Cumbaratza	Zamora-Chinchipe	Ecuador
LA2128	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Zumbi	Zamora-Chinchipe	Ecuador
LA2144	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Chanchan	Chimborazo	Ecuador
LA2155	Active	Wild species	L. hirsutum	S. habrochaites	Maydasbamba	Cajamarca	Peru
LA2156	Active	Wild species	L. hirsutum	S. habrochaites	Ingenio Montan	Cajamarca	Peru
LA2158	Active	Wild species	L. hirsutum	S. habrochaites	Rio Chotano	Cajamarca	Peru
LA2159	Active	Wild species	L. hirsutum	S. habrochaites	Atonpampa	Cajamarca	Peru
LA2167	Active	Wild species	L. hirsutum	S. habrochaites	Cementerio Cajamarca	Cajamarca	Peru
LA2171	Active	Wild species	L. hirsutum	S. habrochaites	El Molino	Piura	Peru
LA2174	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Rio Chinchipe, San Augustin	Cajamarca	Peru
LA2175	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Timbaruca	Cajamarca	Peru
LA2196	Active	Wild species	L. hirsutum	S. habrochaites	Caclic	Amazonas	Peru
LA2204	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Balsapata	Amazonas	Peru
LA2314	Active	Wild species	L. hirsutum	S. habrochaites	San Francisco	Amazonas	Peru
LA2321	Unavailable	Wild species	L. hirsutum	S. habrochaites	Chirico	Amazonas	Peru
LA2324	Active	Wild species	L. hirsutum	S. habrochaites	Leimebamba	Amazonas	Peru
LA2329	Active	Wild species	L. hirsutum	S. habrochaites	Aricapampa	La Libertad	Peru
LA2409	Active	Wild species	L. hirsutum	S. habrochaites	Rio Miraflores	Lima	Peru
LA2552	Active	Wild species	L. hirsutum	S. habrochaites	Las Flores	Cajamarca	Peru
LA2556	Active	Wild species	L. hirsutum	S. habrochaites	Puente Moche	La Libertad	Peru
LA2567	Active	Wild species	L. hirsutum	S. habrochaites	Quita	Ancash	Peru
LA2574	Active	Wild species	L. hirsutum	S. habrochaites	Cullaspungro	Ancash	Peru
LA2648	Unavailable	Wild species	L. hirsutum	S. habrochaites	Santo Domingo	Piura	Peru
LA2650	Active	Wild species	L. hirsutum	S. habrochaites	Ayabaca	Piura	Peru
LA2651	Active	Wild species	L. hirsutum	S. habrochaites	Puente Tordopa	Piura	Peru
LA2722	Active	Wild species	L. hirsutum	S. habrochaites	Puente Auco	Lima	Peru
LA2812	Active	Wild species	L. hirsutum	S. habrochaites	Lambayeque	Lambayeque	Peru
LA2855	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Mollinomuna	Loja	Ecuador
LA2860	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Cariamanga	Loja	Ecuador
LA2861	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Las Juntas	Loja	Ecuador
LA2863	Unavailable	Wild species	L. hirsutum f. glabratum	S. habrochaites	Macara	Loja	Ecuador
LA2864	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Sozorango	Loja	Ecuador
LA2869	Active	Wild species	L. hirsutum f. glabratum	S. habrochaites	Matala	Loja	Ecuador
LA2975	Active	Wild species	L. hirsutum	S. habrochaites	Coltao	Ancash	Peru
LA2976	Active	Wild species	L. hirsutum	S. habrochaites	Huangra	Ancash	Peru
LA3794	Unavailable	Wild species	L. hirsutum	S. habrochaites	Alta Fortaleza	Ancash	Peru
LA3796	Unavailable	Wild species	L. hirsutum	S. habrochaites	Anca, Marca	Ancash	Peru
LA3854	Unavailable	Wild species	L. hirsutum	S. habrochaites	Llaguén	La Libertad	Peru
LA3862	Unavailable	Wild species	L. hirsutum f. glabratum	S. habrochaites	Purunuma	Loja	Ecuador
LA3863	Unavailable	Wild species	L. hirsutum f. glabratum	S. habrochaites	Sozoranga	Loja	Ecuador
LA3864	Unavailable	Wild species	L. hirsutum f. glabratum	S. habrochaites	Yangana	Loja	Ecuador
LA4137	Unavailable	Wild species	L. hirsutum	S. habrochaites	Barrio Delta, Cajamarca	Cajamarca	Peru
LA0110	Unavailable	Wild species	L. peruvianum	S. huaylasense	Cajacay	Ancash	Peru
LA1358	Active	Wild species	L. peruvianum	S. huaylasense	Yautan	Ancash	Peru
LA1364	Active	Wild species	L. peruvianum	S. huaylasense	Alta Fortaleza	Ancash	Peru
LA1365	Active	Wild species	L. peruvianum	S. huaylasense	Caranquilloc	Ancash	Peru
LA1979	Active	Wild species	L. peruvianum	S. huaylasense	Colca (Rio Fortaleza)	Ancash	Peru
LA1981	Active	Wild species	L. peruvianum	S. huaylasense	Vocatoma	Ancash	Peru
LA1982	Active	Wild species	L. peruvianum	S. huaylasense	Huallanca	Ancash	Peru
LA1983	Active	Wild species	L. peruvianum	S. huaylasense	Rio Manta	Ancash	Peru
LA2068	Unavailable	Wild species	L. peruvianum	S. huaylasense	Chasquitambo	Ancash	Peru
LA2561	Active	Wild species	L. peruvianum	S. huaylasense	Huallanca	Ancash	Peru
LA2562	Unavailable	Wild species	L. peruvianum	S. huaylasense	Canon del Pato	Ancash	Peru
LA2563	Unavailable	Wild species	L. peruvianum	S. huaylasense	Canon del Pato	Ancash	Peru
LA2575	Unavailable	Wild species	L. peruvianum	S. huaylasense	Valle de Casma	Ancash	Peru
LA2808	Active	Wild species	L. peruvianum	S. huaylasense	Huaylas	Ancash	Peru
LA2809	Active	Wild species	L. peruvianum	S. huaylasense	Huaylas	Ancash	Peru
LA2120	Active	Wild species	S. juglandifolium	S. juglandifolium	Sabanilla	Zamora-Chinchipe	Ecuador
LA2134	Active	Wild species	S. juglandifolium	S. juglandifolium	Tinajillas	Zamora-Chinchipe	Ecuador
LA2788	Active	Wild species	S. juglandifolium	S. juglandifolium	Quebrada La Buena	Antioquia	Colombia
LA3322	Active	Wild species	S. juglandifolium	S. juglandifolium	San Juan - Chiriboga	Pichincha	Ecuador
LA3324	Unavailable	Wild species	S. juglandifolium	S. juglandifolium	Sabanillas	Zamora-Chinchipe	Ecuador
LA3325	Active	Wild species	S. juglandifolium	S. juglandifolium	Cosanga	Napo	Ecuador
LA1964	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Chupapalca	Tacna	Peru
LA1966	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Palca	Tacna	Peru
LA1990	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Palca	Tacna	Peru
LA1991	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Causiri	Tacna	Peru
LA2385	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Chupapalca to Ingenio	Tacna	Peru
LA2386	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Chupapalca	Tacna	Peru
LA2387	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Lago Aricota	Tacna	Peru
LA2407	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Arica to Putre	Arica and Parinacota	Chile
LA2408	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Above Putre	Arica and Parinacota	Chile
LA2730	Unavailable	Wild species	S. lycopersicoides	S. lycopersicoides	Moquella	Tarapaca	Chile
LA2772	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Zapahuira	Arica and Parinacota	Chile
LA2776	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Catarata de Perquejeque	Arica and Parinacota	Chile
LA2777	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Putre	Arica and Parinacota	Chile
LA2781	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Desvio a Putre	Arica and Parinacota	Chile
LA2951	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Quistagama	Tarapaca	Chile
LA4018	Unavailable	Wild species	S. lycopersicoides	S. lycopersicoides	Lago Aricota	Tacna	Peru
LA4123	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Camina	Tarapaca	Chile
LA4126	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Camina - Nama	Tarapaca	Chile
LA4130	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Pachica (Rio Camarones)	Arica and Parinacota	Chile
LA4131	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Esquina	Arica and Parinacota	Chile
LA4320	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Rio Lluta	Arica and Parinacota	Chile
LA4322	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Quebrada Cardones	Arica and Parinacota	Chile
LA4323	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Putre	Arica and Parinacota	Chile
LA4326	Active	Wild species	S. lycopersicoides	S. lycopersicoides	Cochiza, Rio Camarones	Arica and Parinacota	Chile
LA0168	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum		New Caledonia	Fr. Oceania
LA0292	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Cruz	Galapagos Islands	Ecuador
LA0349	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Unknown Origin		Unknown
LA0384	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Chilete (Rio Jequetepeque)	Cajamarca	Peru
LA0475	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Sucua	Morona-Santiago	Ecuador
LA0476	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Sucua	Morona-Santiago	Ecuador
LA1025	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Oahu: Wahiawa	Hawaii	USA
LA1203	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Ciudad Vieja		Guatemala
LA1204	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Quetzaltenango		Guatemala
LA1205	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Copan		Honduras
LA1206	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Copan Ruins		Honduras
LA1207	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum			Mexico
LA1208	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Sierra Nevada		Colombia
LA1209	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum			Colombia
LA1226	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Sucua	Morona-Santiago	Ecuador
LA1227	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Sucua	Morona-Santiago	Ecuador
LA1228	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Macas, San Jacinto de los Monos	Morona-Santiago	Ecuador
LA1229	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Macas	Morona-Santiago	Ecuador
LA1230	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Macas	Morona-Santiago	Ecuador
LA1231	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Tena	Napo	Ecuador
LA1247	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	La Toma	Loja	Ecuador
LA1268	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Chaclacayo	Lima	Peru
LA1286	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	San Martin de Pangoa	Junin	Peru
LA1287	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Fundo Ileana #1	Junin	Peru
LA1289	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Fundo Ileana #3	Junin	Peru
LA1290	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Mazamari	Junin	Peru
LA1291	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Satipo Granja	Junin	Peru
LA1307	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Hotel Oasis	Ayacucho	Peru
LA1308	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	San Francisco	Ayacucho	Peru
LA1310	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Hacienda Santa Rosa	Ayacucho	Peru
LA1311-1	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-10	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-11	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-12	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-13	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-14	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-15	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-16	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-17	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-18	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-19	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-2	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-3	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-4	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-5	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-6	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-7	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-8	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1311-9	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Santa Rosa Puebla	Ayacucho	Peru
LA1312-2	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Paisanato	Cusco	Peru
LA1312-3	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Paisanto	Cusco	Peru
LA1312-4	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Paisanato	Cusco	Peru
LA1314	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Granja Pichari	Cusco	Peru
LA1320	Active	Wild species	L. esculentum var. cerasiforme	S. lycopersicum	Hacienda Carmen	Apurimac	Peru
