AccessionNum	Gene	Allele
LA0908	var	--
LA0909	con	--
LA0909	sf	--
LA0910	inv	--
LA0910	per	--
LA0911	afl	--
LA0911	clau	--
LA0911	ful	--
LA0912	ht	--
LA0912	su	3
LA0913	ful	--
LA0913	ht	--
LA0913	su	3
LA0914	com	--
LA0914	ful	--
LA0915	clau	--
LA0915	ful	--
LA0916	clau	--
LA0916	ra	--
LA0916	su	3
LA0917	clau	--
LA0917	e	--
LA0917	ful	--
LA0917	ra	--
LA0917	su	3
LA0918	clau	--
LA0918	e	--
LA0918	ful	--
LA0918	su	3
LA0919	clau	--
LA0919	e	--
LA0919	ful	--
LA0919	ra	--
LA0920	e	--
LA0920	ful	--
LA0920	ra	--
LA0920	su	3
LA0921	ful	--
LA0922	bu	--
LA0922	dl	--
LA0922	spa	--
LA0923	ig	--
LA0923	La	--
LA0924	La	--
LA0924	not	--
LA0925	a	--
LA0925	f	--
LA0925	hl	--
LA0925	j	--
LA0933	acr	--
LA0934	adu	--
LA0935	afe	--
LA0936	avi	--
LA0937	hl	2
LA0938	ci	--
LA0939	cta	--
LA0940	coa	--
LA0941	cru	--
LA0942	ete	--
LA0943	fld	--
LA0944	fua	--
LA0945	fcf	--
LA0946	fug	--
LA0947	gas	--
LA0948	glf	--
LA0949	grl	--
LA0950	grc	--
LA0951	grf	--
LA0952	hi	--
LA0953	ini	--
LA0954	ino	--
LA0955	lap	--
LA0956	le	--
LA0957	lep	--
LA0958	lop	--
LA0959	lur	--
LA0960	mac	--
LA0961	mad	--
LA0962	med	--
LA0963	mel	--
LA0964	muv-2	--
LA0965	mta	--
LA0966	opa	--
LA0967	ovi	--
LA0968	pas	--
LA0969	sfa	2
LA0970	pa-2	--
LA0971	pet	--
LA0972	prt	--
LA0973	pu	2
LA0974	pun	--
LA0975	ria	2
LA0976	roa	--
LA0977	spe	--
LA0978	sar	--
LA0979	tem	--
LA0980	bl	2
LA0981	yv	2
LA0982	a	--
LA0982	clau	--
LA0982	e	--
LA0982	hl	--
LA0983	ah	--
LA0983	bu	--
LA0983	dl	--
LA0983	l	--
LA0983	marm	--
LA0984	inv	--
LA0984	scf	--
LA0985	inv	--
LA0985	Jau	--
LA0985	per	--
LA0986	aw	--
LA0986	bk	--
LA0986	d	--
LA0986	o	--
LA0986	p	--
LA0986	s	--
LA0986	Wo	m
LA0987	con	--
LA0987	pli	--
LA0988	ru	--
LA0988	sf	--
LA0989	afl	--
LA0989	ful	--
LA0990	cm	--
LA0990	e	--
LA0990	ful	--
LA0990	su	3
LA0991	com	--
LA0991	e	--
LA0991	ful	--
LA0992	clau	--
LA0992	com	--
LA0992	ra	2
LA0992	su	3
LA0993	ra	--
LA0993	si	--
LA0994	cm	--
LA0994	ver	--
LA0995	deb	--
LA0995	um	--
LA0996	ig	--
